ナ,92,92,2167,ﾀﾞ,ダ,d,a,ダ,d,a
ナ,115,115,3306,ﾃﾞｨ,デ,d,e,ィ,a,i
ナ,120,120,2624,ﾄﾞ,ド,d,o,ド,d,o
ナ,127,127,1729,ﾅ,ナ,n,a,ナ,n,a
ナ,129,129,2927,ﾆｬ,ニ,n,i,ャ,y,a
ナ,171,171,2559,ﾗ,ラ,r,a,ラ,r,a
ナ,185,185,2860,ﾝﾅ,ン,n,n,ナ,n,a
ナイ,127,127,1729,ﾅ,ナ,n,a,ナ,n,a
ナイ,135,135,738,ﾉ,ノ,n,o,ノ,n,o
ナイ,184,184,2107,ﾝｨ,ン,n,n,ィ,a,i
ニ,115,115,3306,ﾃﾞｨ,デ,d,e,ィ,a,i
ニ,128,128,1994,ﾆ,ニ,n,i,ニ,n,i
ニ,132,132,3089,ﾇ,ヌ,n,u,ヌ,n,u
ニ,174,174,2978,ﾘ,リ,r,i,リ,r,i
ニ,177,177,2592,ﾙ,ル,r,u,ル,r,u
ニ,183,183,1949,ﾝ,ン,n,n,ン,n,n
ニイ,130,130,1680,ﾆｭ,ニ,n,i,ュ,y,u
ニャ,129,129,2927,ﾆｬ,ニ,n,i,ャ,y,a
ニュ,130,130,1680,ﾆｭ,ニ,n,i,ュ,y,u
ニョ,131,131,1944,ﾆｮ,ニ,n,i,ョ,y,o
ヌ,83,83,2416,ｽﾞ,ズ,z,u,ズ,z,u
ネ,129,129,2927,ﾆｬ,ニ,n,i,ャ,y,a
ネ,133,133,2527,ﾈ,ネ,n,e,ネ,n,e
ネ,134,134,2439,ﾈｪ,ネ,n,e,ェ,a,e
ネ,155,155,2336,ﾍﾞ,ベ,b,e,ベ,b,e
ノ,31,31,2879,ｰﾝ,ー,*,*,ン,n,n
ノ,120,120,2624,ﾄﾞ,ド,d,o,ド,d,o
ノ,127,127,1729,ﾅ,ナ,n,a,ナ,n,a
ノ,135,135,738,ﾉ,ノ,n,o,ノ,n,o
ノ,181,181,2632,ﾛ,ロ,r,o,ロ,r,o
ハ,17,17,2795,ｧ,ァ,a,a,ァ,a,a
ハ,27,27,2533,ｰ,ー,*,*,ー,*,*
ハ,136,136,918,ﾊ,ハ,h,a,ハ,h,a
ハ,138,138,2795,ﾊﾞ,バ,b,a,バ,b,a
ハ,180,180,2203,ﾚﾊ,レ,r,e,ハ,h,a
ハ,182,182,2298,ﾜ,ワ,w,a,ワ,w,a
ハ,183,183,1949,ﾝ,ン,n,n,ン,n,n
ハラ,137,137,1842,ﾊｧ,ハ,h,a,ァ,a,a
バ,18,18,2945,ｧｰ,ァ,a,a,ー,*,*
バ,32,32,2850,ｱ,ア,a,a,ア,a,a
バ,42,42,3366,ｳﾞｧ,ヴ,*,*,ァ,a,a
バ,138,138,2795,ﾊﾞ,バ,b,a,バ,b,a
バウ,30,30,2776,ｰﾙ,ー,*,*,ル,r,u
パ,138,138,2795,ﾊﾞ,バ,b,a,バ,b,a
ヒ,35,35,1601,ｲ,イ,a,i,イ,a,i
ヒ,140,140,2085,ﾋ,ヒ,h,i,ヒ,h,i
ヒ,143,143,2747,ﾋﾞｨ,ビ,b,i,ィ,a,i
ヒトジ,119,119,1274,ﾄｩｯ,ト,t,o,ッ,*,*
ヒャ,44,44,2382,ｳﾞｭ,ヴ,*,*,ュ,y,u
ヒュ,141,141,1709,ﾋｭ,ヒ,h,i,ュ,y,u
ヒョ,142,142,2013,ﾋｮ,ヒ,h,i,ョ,y,o
ビ,43,43,2941,ｳﾞｨ,ヴ,*,*,ィ,a,i
ビャ,144,144,2854,ﾋﾞｬ,ビ,b,i,ャ,y,a
ビュ,145,145,2130,ﾋﾞｭ,ビ,b,i,ュ,y,u
ビョ,146,146,2434,ﾋﾞｮ,ビ,b,i,ョ,y,o
ピ,43,43,2941,ｳﾞｨ,ヴ,*,*,ィ,a,i
ピャ,147,147,2706,ﾋﾟｬ,ピ,p,i,ャ,y,a
ピュ,148,148,1982,ﾋﾟｭ,ピ,p,i,ュ,y,u
ピョ,149,149,2286,ﾋﾟｮ,ピ,p,i,ョ,y,o
フ,41,41,2576,ｳﾞ,ヴ,*,*,ヴ,*,*
フ,83,83,2416,ｽﾞ,ズ,z,u,ズ,z,u
フ,150,150,2752,ﾌ,フ,h,u,フ,h,u
ブ,41,41,2576,ｳﾞ,ヴ,*,*,ヴ,*,*
ブ,151,151,2233,ﾌﾞ,ブ,b,u,ブ,b,u
ブ,165,165,2209,ﾑ,ム,m,u,ム,m,u
プ,41,41,2576,ｳﾞ,ヴ,*,*,ヴ,*,*
プ,152,152,2500,ﾌﾟ,プ,p,u,プ,p,u
ヘ,155,155,2336,ﾍﾞ,ベ,b,e,ベ,b,e
ヘン,153,153,1593,ﾍ,ヘ,h,e,ヘ,h,e
ベ,35,35,1601,ｲ,イ,a,i,イ,a,i
ベ,155,155,2336,ﾍﾞ,ベ,b,e,ベ,b,e
ペ,155,155,2336,ﾍﾞ,ベ,b,e,ベ,b,e
ホ,3,3,1912,-,-,*,*,-,*,*
ホ,46,46,1833,ｵ,オ,a,o,オ,a,o
ホ,157,157,1270,ﾎ,ホ,h,o,ホ,h,o
ボ,158,158,1822,ﾎﾞ,ボ,b,o,ボ,b,o
ボー,160,160,1435,ﾎﾟｯ,ポ,p,o,ッ,*,*
ポ,158,158,1822,ﾎﾞ,ボ,b,o,ボ,b,o
マ,17,17,2795,ｧ,ァ,a,a,ァ,a,a
マ,42,42,3366,ｳﾞｧ,ヴ,*,*,ァ,a,a
マ,127,127,1729,ﾅ,ナ,n,a,ナ,n,a
マ,138,138,2795,ﾊﾞ,バ,b,a,バ,b,a
マ,161,161,1140,ﾏ,マ,m,a,マ,m,a
マ,162,162,2874,ﾏｧ,マ,m,a,ァ,a,a
マ,163,163,2657,ﾏｰ,マ,m,a,ー,*,*
マ,165,165,2209,ﾑ,ム,m,u,ム,m,u
マ,182,182,2298,ﾜ,ワ,w,a,ワ,w,a
マハ,182,182,2298,ﾜ,ワ,w,a,ワ,w,a
ミ,35,35,1601,ｲ,イ,a,i,イ,a,i
ミ,43,43,2941,ｳﾞｨ,ヴ,*,*,ィ,a,i
ミ,164,164,671,ﾐ,ミ,m,i,ミ,m,i
ミャ,144,144,2854,ﾋﾞｬ,ビ,b,i,ャ,y,a
ミュ,145,145,2130,ﾋﾞｭ,ビ,b,i,ュ,y,u
ミョ,146,146,2434,ﾋﾞｮ,ビ,b,i,ョ,y,o
ム,38,38,2626,ｳ,ウ,a,u,ウ,a,u
ム,41,41,2576,ｳﾞ,ヴ,*,*,ヴ,*,*
ム,135,135,738,ﾉ,ノ,n,o,ノ,n,o
ム,151,151,2233,ﾌﾞ,ブ,b,u,ブ,b,u
ム,165,165,2209,ﾑ,ム,m,u,ム,m,u
メ,154,154,2157,ﾍｨ,ヘ,h,e,ィ,a,i
メ,155,155,2336,ﾍﾞ,ベ,b,e,ベ,b,e
メ,166,166,2029,ﾒ,メ,m,e,メ,m,e
モ,65,65,1170,ｺ,コ,k,o,コ,k,o
モ,158,158,1822,ﾎﾞ,ボ,b,o,ボ,b,o
モ,161,161,1140,ﾏ,マ,m,a,マ,m,a
モ,167,167,750,ﾓ,モ,m,o,モ,m,o
モ,181,181,2632,ﾛ,ロ,r,o,ロ,r,o
ャ,23,23,3758,ｬ,ャ,y,a,ャ,y,a
ヤ,23,23,3758,ｬ,ャ,y,a,ャ,y,a
ヤ,168,168,2335,ﾔ,ヤ,y,a,ヤ,y,a
ュ,24,24,2312,ｭ,ュ,y,u,ュ,y,u
ユ,37,37,1571,ｲｯ,イ,a,i,ッ,*,*
ユ,169,169,2518,ﾕ,ユ,y,u,ユ,y,u
ョ,25,25,2876,ｮ,ョ,y,o,ョ,y,o
ヨ,46,46,1833,ｵ,オ,a,o,オ,a,o
ヨ,170,170,430,ﾖ,ヨ,y,o,ヨ,y,o
ラ,10,10,2717,ラ,ラ,r,a,ラ,r,a
ラ,45,45,2088,ｴ,エ,a,e,エ,a,e
ラ,92,92,2167,ﾀﾞ,ダ,d,a,ダ,d,a
ラ,171,171,2559,ﾗ,ラ,r,a,ラ,r,a
